Feature,Selection_Frequency,Coef_Median,Coef_2.5%,Coef_97.5%,HR_Median,HR_2.5%,HR_97.5%,Nonzero_in_Final,HR_uni,HR_lo_uni,HR_hi_uni,p_uni,p_display
mol_group_BRAF_V600E,0.952,0.22178339141422435,0.0,0.46423143197342664,1.2483009558728042,1.0,1.5907910877620872,True,1.727,1.099,2.715,0.0177756883672206,p=0.018
mol_group_KIAA1549_BRAF,0.862,-0.09177863018645477,-0.30420157732427966,0.047954809775588754,0.9123070844422995,0.7377121454213386,1.0491232441383798,True,0.784,0.539,1.142,0.20494157011933176,p=0.205
mol_group_MYB,0.8,-0.04475296405033452,-0.138896971285559,0.0,0.9562336767520192,0.8703176915521516,1.0,True,0.0,0.0,inf,0.9928861202387179,p=0.993
mol_group_NF1,0.792,0.0994558131001358,0.0,0.35665324342127525,1.1045696621525563,1.0,1.4285404281685676,True,1.8,0.91,3.559,0.0910611800469185,p=0.091
mol_group_other_MAPK,0.768,-0.06876571103144963,-0.2913388102257991,0.027463822956182698,0.9335453738411658,0.7472624549621361,1.0278444300616505,True,0.689,0.335,1.416,0.31087063389602576,p=0.311
